Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Condition,Price
Urban,2260.0,3.0,2,2022,4.0,388812.0
Suburban,861.0,2.0,1,2008,,165372.0
Rural,3622.0,2.0,2,1986,1.0,328111.0
Urban,862.0,4.0,1,2014,3.0,254446.0
Suburban,3899.0,6.0,3,1959,2.0,559585.0
Urban,1607.0,6.0,3,1958,4.0,473016.0
Rural,2813.0,5.0,3,1972,4.0,397086.0
Urban,3877.0,2.0,1,1987,1.0,563110.0
Rural,1697.0,1.0,1,1987,4.0,233144.0
Suburban,1898.0,1.0,4,2017,5.0,365218.0
Urban,3696.0,2.0,1,1959,2.0,551823.0
Urban,1866.0,1.0,2,2010,3.0,314916.0
Suburban,2539.0,5.0,4,1998,5.0,524640.0
Rural,,2.0,2,1999,2.0,388812.0
Urban,3892.0,,1,1959,4.0,677876.0
Rural,2209.0,4.0,1,1980,2.0,270830.0
Urban,1215.0,4.0,3,1965,1.0,331077.0
Rural,1313.0,1.0,4,1956,1.0,147759.0
Rural,1589.0,1.0,1,2012,3.0,169614.0
Urban,3962.0,2.0,3,1955,2.0,583467.0
Suburban,3825.0,3.0,3,1964,1.0,500747.0
Rural,2295.0,5.0,3,2004,5.0,398654.0
Urban,3108.0,3.0,4,2019,2.0,581204.0
Urban,2030.0,4.0,3,2013,5.0,479494.0
Rural,,1.0,1,1986,1.0,253971.0
Rural,3280.0,4.0,1,1985,4.0,409251.0
Rural,3173.0,1.0,3,2016,2.0,335214.0
Urban,3642.0,6.0,2,1996,3.0,648117.0
Rural,2200.0,2.0,2,2019,5.0,319150.0
Suburban,1423.0,6.0,1,1988,3.0,314819.0
Suburban,801.0,6.0,4,1952,3.0,318248.0
Rural,1095.0,3.0,2,2008,1.0,190802.0
Suburban,1069.0,1.0,3,1952,1.0,388812.0
Suburban,1057.0,2.0,2,1990,3.0,248016.0
Rural,2611.0,1.0,1,1988,3.0,269338.0
Rural,1871.0,4.0,4,1978,1.0,297536.0
Rural,1655.0,2.0,1,1952,3.0,238645.0
Rural,3721.0,1.0,1,1989,2.0,335325.0
Urban,1490.0,,2,1980,2.0,389352.0
Suburban,3451.0,4.0,1,2018,4.0,537324.0
Suburban,3848.0,4.0,3,1991,2.0,525233.0
Rural,3136.0,6.0,1,2015,3.0,396436.0
Suburban,2880.0,,3,1979,1.0,409735.0
Urban,2583.0,4.0,4,1967,2.0,503462.0
Urban,1907.0,4.0,4,2013,,487714.0
Rural,3772.0,6.0,3,1982,4.0,489766.0
Urban,3088.0,2.0,2,1967,1.0,452887.0
Urban,2656.0,6.0,1,1961,1.0,519687.0
Urban,2229.0,4.0,1,1990,2.0,392246.0
Urban,1445.0,2.0,4,1963,4.0,392537.0
Rural,1779.0,1.0,1,1966,1.0,201129.0
Urban,2218.0,3.0,3,1995,5.0,475840.0
Urban,1070.0,2.0,3,1973,3.0,301595.0
Urban,3711.0,6.0,1,1983,3.0,639400.0
Rural,3252.0,6.0,4,1999,3.0,462751.0
Urban,3385.0,4.0,2,1956,2.0,560517.0
Suburban,2109.0,3.0,2,2017,4.0,381236.0
Rural,3670.0,2.0,2,1964,1.0,348190.0
Suburban,3195.0,3.0,3,1986,3.0,461907.0
Urban,1034.0,,2,1966,2.0,329872.0
Suburban,2751.0,1.0,3,1988,4.0,427238.0
Urban,3625.0,6.0,4,1953,1.0,655797.0
Urban,,5.0,1,2015,1.0,388812.0
Rural,3265.0,5.0,3,1990,1.0,405801.0
Urban,1750.0,6.0,1,1977,5.0,484619.0
Urban,1895.0,6.0,4,1959,2.0,471746.0
Urban,3849.0,2.0,4,1998,2.0,615002.0
Urban,2263.0,2.0,4,2011,4.0,461196.0
Suburban,2932.0,1.0,3,1982,1.0,377040.0
Suburban,869.0,6.0,2,1964,3.0,306773.0
Urban,3520.0,1.0,1,1983,2.0,514735.0
Urban,2735.0,6.0,1,1973,4.0,546872.0
Suburban,2543.0,2.0,4,2007,4.0,422075.0
Suburban,1259.0,6.0,4,1958,2.0,339785.0
Suburban,862.0,1.0,4,1984,4.0,214179.0
Rural,3635.0,3.0,4,2012,5.0,476637.0
Urban,3557.0,2.0,4,1957,2.0,584662.0
Suburban,1976.0,5.0,4,1991,5.0,421828.0
Rural,2563.0,3.0,1,2012,5.0,355758.0
Suburban,2621.0,5.0,2,1965,2.0,396558.0
Suburban,1059.0,1.0,1,1970,4.0,222330.0
Urban,3406.0,2.0,4,1968,4.0,619834.0
Suburban,3067.0,2.0,1,1985,2.0,395483.0
Urban,2358.0,4.0,2,2009,3.0,488218.0
Rural,2961.0,3.0,1,2008,1.0,302918.0
Suburban,3900.0,4.0,4,2012,3.0,604878.0
Rural,3280.0,1.0,1,1986,5.0,336928.0
Rural,2889.0,1.0,1,2009,1.0,261860.0
Suburban,1113.0,1.0,3,1972,2.0,196699.0
Suburban,1915.0,3.0,2,1972,1.0,299059.0
Rural,2898.0,4.0,3,2004,2.0,337920.0
Urban,1978.0,3.0,3,1995,5.0,483365.0
Rural,2676.0,3.0,3,1957,3.0,354812.0
Suburban,947.0,3.0,3,1996,1.0,230651.0
Urban,1206.0,5.0,3,2016,5.0,398537.0
Urban,2082.0,1.0,1,1964,2.0,330510.0
Suburban,3779.0,6.0,2,2008,2.0,529284.0
Suburban,3333.0,3.0,4,1975,5.0,554344.0
Urban,2770.0,5.0,2,2022,1.0,523690.0
Rural,3092.0,3.0,2,1954,5.0,415110.0
Suburban,2306.0,2.0,3,1987,,435415.0
Urban,2849.0,3.0,3,1969,3.0,512124.0
Suburban,2260.0,6.0,4,2005,3.0,460760.0
Suburban,2041.0,3.0,2,1985,4.0,355610.0
Rural,1633.0,1.0,3,2020,3.0,248543.0
Rural,3217.0,3.0,3,1979,1.0,340439.0
Rural,,3.0,2,1950,3.0,253865.0
Urban,2340.0,6.0,4,1977,1.0,535173.0
Suburban,2972.0,5.0,4,2005,5.0,558301.0
Rural,986.0,6.0,3,1969,,236329.0
Rural,3935.0,3.0,2,1980,5.0,478506.0
Urban,2520.0,4.0,2,2021,2.0,388812.0
Suburban,3426.0,2.0,3,2005,3.0,462005.0
Suburban,3559.0,1.0,4,1994,2.0,490869.0
Rural,2013.0,6.0,1,1975,2.0,290951.0
Urban,3853.0,3.0,1,2009,1.0,546946.0
Urban,3916.0,5.0,4,1973,1.0,669694.0
Suburban,3538.0,3.0,4,1983,5.0,582788.0
Urban,2996.0,3.0,3,2012,4.0,549820.0
Urban,3689.0,2.0,4,1981,5.0,687287.0
Suburban,3114.0,3.0,3,1986,2.0,445010.0
Urban,3910.0,5.0,3,1960,5.0,760487.0
Urban,2377.0,3.0,1,2021,4.0,452833.0
Urban,2652.0,1.0,2,1998,2.0,398199.0
Urban,2760.0,4.0,1,1955,2.0,480478.0
Urban,,6.0,3,1962,3.0,547096.0
Suburban,,6.0,1,1974,4.0,533470.0
Suburban,1383.0,3.0,4,1978,2.0,315245.0
Urban,2069.0,1.0,2,1952,1.0,332066.0
Suburban,3081.0,3.0,3,1957,4.0,478191.0
Urban,1891.0,4.0,4,2000,1.0,390595.0
Suburban,2177.0,1.0,3,1976,2.0,306730.0
Suburban,3622.0,5.0,1,2005,3.0,531508.0
Suburban,1967.0,6.0,2,1956,5.0,442715.0
Rural,3555.0,4.0,2,2010,4.0,424245.0
Rural,1471.0,2.0,2,1986,5.0,224639.0
Rural,3368.0,3.0,3,1988,1.0,347213.0
Suburban,3401.0,4.0,4,1977,5.0,580945.0
Urban,1365.0,3.0,1,1983,4.0,314393.0
Urban,3318.0,,3,1992,1.0,577811.0
Urban,3750.0,6.0,4,1982,3.0,755949.0
Suburban,3524.0,3.0,2,2008,3.0,388812.0
Urban,2711.0,3.0,2,1952,4.0,498712.0
Suburban,2925.0,2.0,1,1966,3.0,374640.0
Suburban,2460.0,2.0,4,2009,4.0,398772.0
Suburban,3518.0,2.0,4,2016,3.0,504487.0
Rural,2684.0,4.0,2,1989,3.0,351375.0
Rural,1054.0,3.0,2,1954,1.0,178756.0
Suburban,1633.0,6.0,3,1992,4.0,379663.0
Urban,1735.0,3.0,3,2006,1.0,361474.0
Rural,2684.0,3.0,1,1955,5.0,339688.0
Rural,3255.0,6.0,3,1956,3.0,425525.0
Rural,3193.0,2.0,4,1990,5.0,434903.0
Rural,3041.0,3.0,2,1980,2.0,338259.0
Suburban,3606.0,1.0,1,2013,2.0,400300.0
Urban,997.0,6.0,1,1959,1.0,388812.0
Urban,2401.0,6.0,1,2000,1.0,450498.0
Rural,2313.0,2.0,2,1974,4.0,319458.0
Urban,1648.0,3.0,2,1998,4.0,389045.0
Rural,869.0,6.0,2,1974,1.0,180391.0
Rural,2686.0,3.0,1,1996,2.0,271999.0
Suburban,3551.0,3.0,1,1981,3.0,488000.0
Rural,1605.0,,3,1979,4.0,271586.0
Suburban,2961.0,,4,1974,,518454.0
Rural,1562.0,6.0,4,1978,2.0,270488.0
Rural,1262.0,2.0,1,1991,1.0,134482.0
Urban,3766.0,2.0,3,1977,1.0,549638.0
Suburban,2416.0,4.0,2,2019,5.0,445357.0
Rural,3702.0,5.0,4,1994,5.0,500168.0
Rural,1656.0,1.0,3,1957,4.0,260577.0
Rural,2797.0,4.0,2,1993,5.0,407400.0
Urban,900.0,1.0,1,1974,5.0,277547.0
Urban,3928.0,5.0,1,1997,2.0,632599.0
Rural,3342.0,3.0,4,2000,3.0,428084.0
Urban,,1.0,2,1983,2.0,244763.0
Rural,1703.0,6.0,3,1967,5.0,334794.0
Rural,879.0,3.0,1,1951,4.0,214120.0
Rural,3941.0,3.0,3,2014,3.0,422664.0
Urban,2179.0,1.0,1,1990,3.0,358103.0
Suburban,2971.0,,3,1952,2.0,428590.0
Suburban,1228.0,4.0,2,1971,3.0,312081.0
Urban,1045.0,6.0,1,1968,3.0,368002.0
Suburban,3718.0,5.0,1,1961,1.0,490142.0
Urban,1817.0,3.0,3,1986,3.0,431220.0
Suburban,1779.0,4.0,3,1990,3.0,372294.0
Rural,2214.0,6.0,4,1991,2.0,358834.0
Suburban,1164.0,1.0,1,1974,5.0,219956.0
Urban,3641.0,,1,2002,5.0,557215.0
Urban,2379.0,5.0,3,1987,,530719.0
Urban,2013.0,4.0,4,1963,3.0,481453.0
Rural,3393.0,3.0,3,1955,3.0,376853.0
Urban,2287.0,3.0,4,1992,5.0,500204.0
Suburban,1746.0,5.0,2,2001,2.0,316410.0
Urban,2373.0,5.0,4,1971,1.0,472213.0
Urban,3166.0,3.0,4,1975,5.0,644183.0
Urban,,3.0,4,2014,5.0,581856.0
Suburban,3834.0,3.0,1,1994,2.0,475464.0
Urban,3685.0,6.0,3,2016,2.0,698721.0
Rural,961.0,,2,1989,3.0,211859.0
Rural,1109.0,3.0,1,1965,1.0,145420.0
Rural,2165.0,2.0,1,1989,1.0,197049.0
Urban,3389.0,4.0,3,1961,3.0,637459.0
Suburban,1195.0,,3,2011,4.0,259597.0
Rural,2124.0,1.0,4,2019,2.0,253349.0
Urban,1268.0,1.0,4,2018,1.0,256403.0
Suburban,2997.0,5.0,1,1989,4.0,506375.0
Rural,3758.0,6.0,1,1951,4.0,490872.0
Rural,3463.0,6.0,2,1983,5.0,471621.0
Urban,1733.0,4.0,2,1965,1.0,366649.0
Urban,2397.0,,3,1973,3.0,388812.0
Urban,3695.0,1.0,3,2018,3.0,604754.0
Suburban,3891.0,3.0,3,1975,4.0,557875.0
Suburban,1916.0,5.0,4,2013,1.0,375311.0
Suburban,1936.0,1.0,1,1998,1.0,216923.0
Rural,3197.0,5.0,3,1982,1.0,362276.0
Rural,,4.0,1,2022,4.0,214652.0
Rural,3700.0,6.0,1,1988,3.0,452912.0
Rural,2920.0,2.0,2,1980,4.0,338021.0
Rural,3836.0,1.0,4,1977,5.0,421042.0
Rural,2170.0,3.0,1,1989,3.0,253057.0
Urban,3506.0,3.0,4,1966,3.0,626560.0
Suburban,818.0,3.0,3,1972,2.0,211668.0
Urban,2530.0,5.0,4,1992,2.0,512357.0
Rural,2542.0,1.0,2,2016,3.0,299837.0
Urban,2845.0,5.0,3,1976,,524816.0
Suburban,3032.0,6.0,3,2004,1.0,453519.0
Rural,2116.0,2.0,3,1985,1.0,233002.0
Urban,3760.0,1.0,4,1958,3.0,612999.0
Rural,2255.0,3.0,1,2013,3.0,257456.0
Rural,2641.0,5.0,2,2008,2.0,335018.0
Urban,2418.0,6.0,2,2000,5.0,558564.0
Suburban,3486.0,3.0,2,1953,5.0,549150.0
Urban,,2.0,4,1951,5.0,585013.0
Suburban,1849.0,6.0,2,2016,4.0,430716.0
Rural,2967.0,4.0,4,1990,2.0,388117.0
Suburban,1432.0,3.0,2,1975,5.0,341446.0
Suburban,2032.0,2.0,1,1967,3.0,278403.0
Urban,3643.0,3.0,2,1973,5.0,648293.0
Rural,1740.0,4.0,1,1963,3.0,227931.0
Suburban,3954.0,4.0,4,2006,3.0,610476.0
Suburban,1401.0,4.0,2,2019,5.0,324439.0
Rural,1157.0,6.0,3,1952,4.0,279927.0
Urban,1317.0,6.0,1,1955,4.0,427528.0
Rural,1043.0,6.0,4,2023,4.0,303615.0
Rural,2555.0,3.0,1,1953,3.0,275640.0
Rural,1983.0,3.0,2,1958,4.0,293789.0
Suburban,3912.0,2.0,1,1988,1.0,441000.0
Suburban,2625.0,4.0,2,1970,1.0,357756.0
Suburban,,1.0,1,2015,1.0,225668.0
Suburban,3736.0,5.0,3,1974,4.0,578382.0
Urban,1717.0,5.0,4,1957,1.0,428123.0
Suburban,3594.0,6.0,4,1975,2.0,560590.0
Suburban,3661.0,5.0,1,2022,4.0,388812.0
Urban,1242.0,2.0,2,1955,4.0,292674.0
Urban,2721.0,6.0,2,1975,4.0,588329.0
Rural,882.0,,3,2006,3.0,257562.0
Urban,3663.0,5.0,1,2012,2.0,595690.0
Urban,1836.0,6.0,2,1983,4.0,388812.0
Rural,2376.0,6.0,2,1956,2.0,322630.0
Urban,3982.0,2.0,4,2011,4.0,692291.0
Urban,1233.0,5.0,2,1989,1.0,295602.0
Suburban,3801.0,5.0,3,1989,1.0,546266.0
Rural,3904.0,1.0,2,1963,5.0,411581.0
Rural,1844.0,2.0,4,1953,4.0,256453.0
Urban,1073.0,6.0,1,2012,1.0,285924.0
Suburban,1365.0,2.0,3,1973,4.0,282517.0
Rural,3647.0,6.0,4,1982,2.0,467072.0
Suburban,1333.0,4.0,3,1987,2.0,388812.0
Rural,1715.0,5.0,1,1960,1.0,228570.0
Suburban,1673.0,1.0,2,1958,3.0,247298.0
Rural,1945.0,6.0,1,1986,2.0,307771.0
Suburban,3536.0,3.0,2,1959,3.0,515289.0
Urban,2709.0,3.0,3,2001,3.0,532669.0
Rural,1489.0,6.0,2,2017,1.0,276408.0
Rural,3552.0,5.0,1,2010,1.0,354869.0
Rural,2011.0,3.0,1,2005,3.0,234165.0
Suburban,3226.0,4.0,2,1974,1.0,431691.0
Urban,1225.0,4.0,4,1989,4.0,401404.0
Rural,2447.0,2.0,4,2008,4.0,318705.0
Rural,1367.0,1.0,1,1962,1.0,136676.0
Suburban,2132.0,4.0,1,1975,1.0,297178.0
Rural,2271.0,5.0,3,1976,5.0,384722.0
Suburban,3092.0,5.0,1,1981,5.0,514456.0
Suburban,1519.0,4.0,3,1979,2.0,287379.0
Rural,3234.0,2.0,3,1994,2.0,352547.0
Suburban,3287.0,6.0,3,1971,2.0,516157.0
Rural,2523.0,3.0,1,1951,5.0,305471.0
Rural,1447.0,6.0,2,2019,1.0,217820.0
Suburban,1660.0,5.0,2,1970,4.0,375015.0
Suburban,1860.0,5.0,2,1965,,354081.0
Urban,2910.0,1.0,3,1964,1.0,422586.0
Rural,2447.0,1.0,1,1983,1.0,238356.0
Suburban,1023.0,2.0,2,1982,1.0,194792.0
Urban,3430.0,4.0,2,2001,3.0,621764.0
Urban,,6.0,4,1962,1.0,369522.0
Suburban,3270.0,4.0,1,2006,3.0,474398.0
Rural,3975.0,1.0,3,1998,5.0,464075.0
Rural,2268.0,1.0,1,1991,2.0,216429.0
Rural,3521.0,4.0,1,2007,3.0,407177.0
Suburban,1644.0,5.0,2,2021,2.0,354028.0
Urban,1547.0,5.0,1,1953,2.0,374850.0
Suburban,1346.0,5.0,4,1963,3.0,367065.0
Urban,3413.0,6.0,1,1989,2.0,577580.0
Suburban,1418.0,5.0,3,2015,3.0,318917.0
Suburban,2948.0,1.0,1,1983,5.0,427147.0
Urban,3554.0,4.0,1,2022,5.0,666642.0
Rural,961.0,,3,2014,4.0,188944.0
Suburban,2699.0,4.0,1,1971,1.0,404046.0
Rural,2499.0,3.0,2,1962,1.0,287576.0
Urban,1165.0,1.0,1,2018,3.0,271469.0
Suburban,,2.0,1,2002,5.0,549954.0
Urban,3588.0,1.0,2,1958,4.0,562636.0
Rural,3985.0,5.0,2,1996,3.0,479452.0
Rural,2898.0,5.0,1,1982,5.0,411505.0
Suburban,2109.0,5.0,2,1970,5.0,388812.0
Rural,840.0,4.0,3,1973,,202457.0
Urban,1890.0,1.0,1,1984,1.0,267366.0
Urban,888.0,2.0,4,1964,1.0,253040.0
Rural,1856.0,2.0,1,1972,2.0,194764.0
Urban,2765.0,2.0,3,1951,1.0,459466.0
Suburban,3999.0,3.0,4,2008,4.0,590730.0
Suburban,2754.0,1.0,4,1984,3.0,432378.0
Rural,1563.0,4.0,1,1999,1.0,198091.0
Urban,976.0,1.0,3,1972,3.0,254178.0
Rural,2619.0,5.0,3,1950,3.0,366106.0
Suburban,3689.0,4.0,2,1979,2.0,505692.0
Urban,1571.0,4.0,4,1989,3.0,414047.0
Suburban,,6.0,1,2001,4.0,428606.0
Rural,3077.0,6.0,2,2010,3.0,398093.0
Rural,1054.0,3.0,3,1977,2.0,171198.0
Rural,1303.0,2.0,2,2013,4.0,202512.0
Rural,,5.0,2,1990,3.0,350084.0
Rural,1979.0,3.0,3,1998,2.0,240189.0
Urban,1306.0,4.0,3,2008,2.0,372640.0
Suburban,2059.0,4.0,3,1978,4.0,428626.0
Urban,1657.0,1.0,3,1966,,330116.0
Suburban,3996.0,2.0,3,1960,3.0,553476.0
Rural,3123.0,2.0,2,1952,3.0,323197.0
Rural,1986.0,5.0,3,1971,3.0,298014.0
Urban,3971.0,1.0,2,1992,5.0,642679.0
Urban,3674.0,3.0,4,1957,2.0,594038.0
Urban,880.0,3.0,2,2019,5.0,347315.0
Urban,2171.0,3.0,1,1959,4.0,437146.0
Rural,2164.0,3.0,4,1986,4.0,321637.0
Suburban,3506.0,2.0,3,2004,4.0,521199.0
Rural,1360.0,,1,2001,2.0,190863.0
Urban,1643.0,5.0,2,2012,1.0,338974.0
Urban,,6.0,1,1990,4.0,478075.0
Suburban,2612.0,6.0,1,1965,4.0,438632.0
Suburban,2996.0,1.0,1,1956,5.0,420561.0
Suburban,1088.0,1.0,4,1984,2.0,240813.0
Urban,2995.0,3.0,1,1970,1.0,447863.0
Rural,2584.0,5.0,3,1970,4.0,390590.0
Suburban,2917.0,1.0,3,1952,4.0,422846.0
Rural,1902.0,1.0,4,1956,2.0,237796.0
Suburban,2513.0,3.0,1,2005,3.0,390733.0
Rural,2446.0,2.0,4,1989,5.0,323415.0
Urban,1173.0,3.0,3,2011,2.0,277675.0
Urban,2952.0,1.0,1,1958,4.0,488910.0
Rural,2397.0,3.0,1,1992,1.0,230012.0
Rural,2398.0,5.0,3,1967,2.0,316007.0
Suburban,3409.0,5.0,3,1986,2.0,492296.0
Rural,3515.0,4.0,3,1992,2.0,382760.0
Urban,2018.0,5.0,2,2002,3.0,458746.0
Urban,3900.0,2.0,3,2008,2.0,626661.0
Rural,2948.0,3.0,2,1972,1.0,343869.0
Urban,3916.0,1.0,1,1959,3.0,561903.0
Urban,3553.0,6.0,3,2014,3.0,688110.0
Rural,3764.0,6.0,2,2011,4.0,475920.0
Rural,2782.0,2.0,1,1980,4.0,311517.0
Rural,2935.0,3.0,2,2007,1.0,334135.0
Rural,2475.0,4.0,2,2003,2.0,286503.0
Suburban,3391.0,5.0,3,2003,5.0,594571.0
Suburban,,,3,1952,3.0,391906.0
Suburban,889.0,6.0,4,2008,2.0,322085.0
Suburban,2228.0,2.0,2,1963,3.0,343361.0
Urban,2246.0,1.0,2,1954,2.0,383987.0
Rural,1068.0,4.0,3,1966,3.0,215481.0
Rural,,4.0,2,2022,5.0,241838.0
Urban,3255.0,5.0,3,1985,3.0,606988.0
Urban,2510.0,3.0,1,1978,4.0,475348.0
Rural,2932.0,4.0,4,1978,1.0,367231.0
Urban,2882.0,4.0,2,2015,1.0,481076.0
Suburban,1809.0,2.0,2,2009,3.0,279252.0
Rural,2923.0,3.0,1,1953,5.0,356024.0
Suburban,3239.0,1.0,1,1950,4.0,415816.0
Urban,1686.0,4.0,3,1991,1.0,392030.0
Urban,1318.0,4.0,4,1988,4.0,437598.0
Suburban,3840.0,4.0,2,1978,5.0,604714.0
Suburban,1340.0,2.0,2,2014,1.0,192648.0
Suburban,2020.0,6.0,3,1998,1.0,371313.0
Urban,3316.0,1.0,1,2006,5.0,518290.0
Rural,2892.0,2.0,4,1973,5.0,384187.0
Rural,2679.0,1.0,3,1963,5.0,319266.0
Urban,,5.0,2,1994,4.0,669426.0
Urban,1174.0,2.0,1,2016,4.0,262767.0
Rural,3421.0,2.0,3,2016,4.0,375530.0
Suburban,1043.0,2.0,3,1955,3.0,222418.0
Rural,2665.0,5.0,4,2016,5.0,385431.0
Suburban,3558.0,2.0,3,2014,3.0,481966.0
Rural,1671.0,3.0,1,2001,5.0,289547.0
Suburban,2169.0,5.0,2,1996,5.0,410110.0
Suburban,3231.0,2.0,3,2019,4.0,456035.0
Urban,3218.0,5.0,2,1977,2.0,552711.0
Rural,1598.0,4.0,3,1989,2.0,275017.0
Rural,2839.0,6.0,1,1990,1.0,320859.0
Urban,2064.0,3.0,1,1978,4.0,436577.0
Urban,2841.0,3.0,1,1995,3.0,465551.0
Rural,2342.0,1.0,2,1955,4.0,282679.0
Rural,1798.0,2.0,4,1955,1.0,254845.0
Urban,2087.0,5.0,2,1962,4.0,477496.0
Urban,2814.0,1.0,1,1950,1.0,406593.0
Suburban,2330.0,5.0,1,1971,3.0,396955.0
Rural,3399.0,,1,1974,2.0,328998.0
Rural,3481.0,1.0,4,2011,2.0,385520.0
Rural,2076.0,5.0,4,1976,1.0,276830.0
Urban,1040.0,3.0,1,1990,2.0,252998.0
Suburban,2118.0,4.0,4,1965,1.0,335438.0
Rural,,2.0,1,2021,3.0,358314.0
Suburban,1270.0,4.0,4,1983,2.0,388812.0
Urban,1524.0,3.0,2,1984,3.0,332477.0
Urban,982.0,1.0,2,1992,2.0,213969.0
Urban,3224.0,1.0,3,1980,2.0,493282.0
Rural,858.0,5.0,4,1968,3.0,226703.0
Suburban,2340.0,2.0,4,2018,1.0,316129.0
Suburban,2376.0,1.0,1,2023,3.0,340079.0
Rural,3434.0,1.0,3,2013,2.0,357591.0
Rural,3782.0,4.0,2,1991,2.0,430231.0
Urban,2147.0,3.0,2,1993,3.0,402175.0
Urban,1957.0,3.0,4,2006,3.0,421606.0
Suburban,2468.0,6.0,4,2000,3.0,468882.0
Rural,2636.0,4.0,4,1979,3.0,351569.0
Rural,2714.0,5.0,2,1992,2.0,333834.0
Rural,2775.0,2.0,3,1952,3.0,319243.0
Suburban,3594.0,5.0,3,1950,5.0,583775.0
Rural,3128.0,3.0,2,1995,2.0,325981.0
Suburban,821.0,4.0,4,1995,5.0,316492.0
Urban,1327.0,2.0,3,1998,1.0,284566.0
Rural,2727.0,2.0,2,2004,,282071.0
Rural,1465.0,3.0,3,1999,5.0,281527.0
Suburban,1067.0,4.0,1,2002,1.0,213908.0
Urban,1105.0,4.0,1,1955,4.0,342355.0
Rural,2077.0,1.0,1,2010,3.0,239407.0
Rural,,1.0,3,1958,5.0,366589.0
Rural,874.0,1.0,1,1973,2.0,127783.0
Urban,2490.0,5.0,1,1992,1.0,450906.0
Rural,2356.0,5.0,4,2013,1.0,304702.0
Suburban,3732.0,6.0,3,2010,5.0,649650.0
Rural,1781.0,6.0,3,2021,2.0,293247.0
Urban,3413.0,4.0,4,1964,3.0,645842.0
Urban,2739.0,6.0,4,1967,5.0,388812.0
Rural,3036.0,6.0,1,1983,1.0,378925.0
Urban,3258.0,4.0,4,1952,4.0,634181.0
Rural,978.0,2.0,4,1957,5.0,388812.0
Urban,3180.0,6.0,2,1994,1.0,588570.0
Rural,3791.0,3.0,2,2009,1.0,403135.0
Rural,1860.0,1.0,1,1953,,227992.0
Suburban,2796.0,3.0,4,1988,3.0,423919.0
Rural,3191.0,2.0,1,2013,1.0,279846.0
Urban,2380.0,5.0,4,1986,4.0,576156.0
Urban,2207.0,2.0,1,1960,4.0,429438.0
Urban,846.0,6.0,1,1990,4.0,319276.0
Rural,1925.0,4.0,2,2017,4.0,296520.0
Urban,2502.0,4.0,4,1962,4.0,567192.0
Suburban,1681.0,3.0,1,1989,3.0,283860.0
Urban,3961.0,6.0,1,1989,2.0,659060.0
Suburban,2131.0,,2,1979,4.0,447250.0
Rural,1452.0,5.0,2,1950,4.0,268188.0
Urban,2870.0,1.0,3,1964,2.0,471807.0
Rural,3356.0,3.0,4,2005,,376026.0
Suburban,2056.0,5.0,3,1999,1.0,360340.0
Urban,2272.0,4.0,2,1991,5.0,530590.0
Rural,2859.0,1.0,3,1950,5.0,333260.0
Urban,2630.0,2.0,1,2007,1.0,397038.0
Suburban,1612.0,4.0,1,1955,2.0,315450.0
Suburban,2257.0,4.0,2,1997,1.0,329871.0
Suburban,3058.0,5.0,2,1972,2.0,454426.0
Urban,1466.0,5.0,3,1987,4.0,449786.0
Urban,3660.0,4.0,2,2019,1.0,606975.0
Suburban,1227.0,4.0,3,1968,5.0,354879.0
Rural,3212.0,3.0,4,1997,5.0,409944.0
Urban,2205.0,4.0,2,1961,3.0,483358.0
Rural,1443.0,3.0,3,2004,1.0,184045.0
